,Open,High,Low,Adj Close,Volume
2022/2/18 4:27,4692891.5,4692891.5,4692891.5,4692891.5,199753728
2022/2/18 4:28,4692589.5,4692589.5,4692589.5,4692589.5,2097152
2022/2/18 4:29,4692529.5,4692529.5,4692529.5,4692529.5,4091543552
2022/2/18 4:30,4692377.5,4692377.5,4692377.5,4692377.5,489947136
2022/2/18 4:31,4692013.5,4692013.5,4692013.5,4692013.5,0
2022/2/18 4:32,4691229,4691229,4691229,4691229,0
2022/2/18 4:33,4690895,4690895,4690895,4690895,0
2022/2/18 4:34,4691171,4691171,4691171,4691171,0
2022/2/18 4:35,4692764.5,4692764.5,4692764.5,4692764.5,0
2022/2/18 4:36,4694095.5,4694095.5,4694095.5,4694095.5,834142208
2022/2/18 4:37,4695721.5,4695721.5,4695721.5,4695721.5,1007157248
2022/2/18 4:38,4695763,4695763,4695763,4695763,27000832
2022/2/18 4:39,4694924,4694924,4694924,4694924,22282240
2022/2/18 4:40,4694362,4694362,4694362,4694362,0
2022/2/18 4:41,4693014,4693014,4693014,4693014,248512512
2022/2/18 4:42,4693426,4693426,4693426,4693426,572522496
2022/2/18 4:43,4692925,4692925,4692925,4692925,0
2022/2/18 4:44,4692205.5,4692205.5,4692205.5,4692205.5,1051459584
2022/2/18 4:45,4692021,4692021,4692021,4692021,0
2022/2/18 4:46,4692703.5,4692703.5,4692703.5,4692703.5,225968128
2022/2/18 4:47,4693872.5,4693872.5,4693872.5,4693872.5,289669120
2022/2/18 4:48,4693675.5,4693675.5,4693675.5,4693675.5,213647360
2022/2/18 4:49,4693523,4693523,4693523,4693523,0
2022/2/18 4:50,4690422.5,4690422.5,4690422.5,4690422.5,0
2022/2/18 4:51,4689166.5,4689166.5,4689166.5,4689166.5,707788800
2022/2/18 4:52,4687840,4687840,4687840,4687840,0
2022/2/18 4:53,4683907.5,4683907.5,4683907.5,4683907.5,282591232
2022/2/18 4:54,4682239,4682239,4682239,4682239,45613056
2022/2/18 4:55,4681704.5,4681704.5,4681704.5,4681704.5,0
2022/2/18 4:56,4678750,4678750,4678750,4678750,789577728
2022/2/18 4:57,4679294,4679294,4679294,4679294,0
2022/2/18 4:58,4679774,4679774,4679774,4679774,449314816
2022/2/18 4:59,4681482.5,4681482.5,4681482.5,4681482.5,0
2022/2/18 5:00,4680636.5,4680636.5,4680636.5,4680636.5,1522270208
2022/2/18 5:01,4680267.5,4680267.5,4680267.5,4680267.5,286261248
2022/2/18 5:02,4676028.5,4676028.5,4676028.5,4676028.5,2739404800
2022/2/18 5:03,4676560.5,4676560.5,4676560.5,4676560.5,794820608
2022/2/18 5:04,4676728,4676728,4676728,4676728,0
2022/2/18 5:05,4677650.5,4677650.5,4677650.5,4677650.5,195035136
2022/2/18 5:06,4677526,4677526,4677526,4677526,0
2022/2/18 5:07,4677605,4677605,4677605,4677605,0
2022/2/18 5:08,4677314.5,4677314.5,4677314.5,4677314.5,0
2022/2/18 5:09,4677880.5,4677880.5,4677880.5,4677880.5,242221056
2022/2/18 5:10,4678256.5,4678256.5,4678256.5,4678256.5,0
2022/2/18 5:11,4679478,4679478,4679478,4679478,199753728
2022/2/18 5:12,4677961,4677961,4677961,4677961,239075328
2022/2/18 5:13,4677802,4677802,4677802,4677802,0
2022/2/18 5:14,4675545,4675545,4675545,4675545,0
2022/2/18 5:15,4676577.5,4676577.5,4676577.5,4676577.5,592707584
2022/2/18 5:16,4676857.5,4676857.5,4676857.5,4676857.5,90177536
2022/2/18 5:17,4677339.5,4677339.5,4677339.5,4677339.5,0
2022/2/18 5:18,4676864,4676864,4676864,4676864,0
2022/2/18 5:19,4677718.5,4677718.5,4677718.5,4677718.5,147587072
2022/2/18 5:20,4677649.5,4677649.5,4677649.5,4677649.5,5457313792
2022/2/18 5:21,4677626,4677626,4677626,4677626,161218560
2022/2/18 5:22,4678430.5,4678430.5,4678430.5,4678430.5,718536704
2022/2/18 5:23,4678730,4678730,4678730,4678730,0
2022/2/18 5:24,4679045.5,4679045.5,4679045.5,4679045.5,200278016
2022/2/18 5:25,4678784.5,4678784.5,4678784.5,4678784.5,0
2022/2/18 5:26,4679393.5,4679393.5,4679393.5,4679393.5,591659008
2022/2/18 5:27,4679302.5,4679302.5,4679302.5,4679302.5,787742720
2022/2/18 5:28,4679865,4679865,4679865,4679865,180355072
2022/2/18 5:29,4680108.5,4680108.5,4680108.5,4680108.5,1870921728
2022/2/18 5:30,4680360.5,4680360.5,4680360.5,4680360.5,0
2022/2/18 5:31,4681046,4681046,4681046,4681046,229900288
2022/2/18 5:32,4681361.5,4681361.5,4681361.5,4681361.5,188219392
2022/2/18 5:33,4681573.5,4681573.5,4681573.5,4681573.5,343408640
2022/2/18 5:34,4681770.5,4681770.5,4681770.5,4681770.5,98041856
2022/2/18 5:35,4682451.5,4682451.5,4682451.5,4682451.5,0
2022/2/18 5:36,4682536.5,4682536.5,4682536.5,4682536.5,1046478848
2022/2/18 5:37,4683323,4683323,4683323,4683323,308805632
2022/2/18 5:38,4685467,4685467,4685467,4685467,4239130624
2022/2/18 5:39,4686974,4686974,4686974,4686974,634912768
2022/2/18 5:40,4686849,4686849,4686849,4686849,1388052480
2022/2/18 5:41,4689610.5,4689610.5,4689610.5,4689610.5,648544256
2022/2/18 5:42,4689698,4689698,4689698,4689698,511442944
2022/2/18 5:43,4689923,4689923,4689923,4689923,202899456
2022/2/18 5:44,4689357.5,4689357.5,4689357.5,4689357.5,0
2022/2/18 5:45,4687913.5,4687913.5,4687913.5,4687913.5,0
2022/2/18 5:46,4686828.5,4686828.5,4686828.5,4686828.5,0
2022/2/18 5:47,4684083.5,4684083.5,4684083.5,4684083.5,0
2022/2/18 5:48,4684212,4684212,4684212,4684212,200278016
2022/2/18 5:49,4685017,4685017,4685017,4685017,37224448
2022/2/18 5:50,4685927.5,4685927.5,4685927.5,4685927.5,2234515456
2022/2/18 5:51,4686167,4686167,4686167,4686167,377487360
2022/2/18 5:52,4686606,4686606,4686606,4686606,213647360
2022/2/18 5:53,4687776,4687776,4687776,4687776,632029184
2022/2/18 5:54,4687583,4687583,4687583,4687583,899678208
2022/2/18 5:55,4687367,4687367,4687367,4687367,64487424
2022/2/18 5:56,4687780.5,4687780.5,4687780.5,4687780.5,1402470400
2022/2/18 5:57,4686800,4686800,4686800,4686800,433061888
2022/2/18 5:58,4687653,4687653,4687653,4687653,0
2022/2/18 5:59,4686916.5,4686916.5,4686916.5,4686916.5,562823168
2022/2/18 6:00,4686907,4686907,4686907,4686907,171442176
2022/2/18 6:01,4684940.5,4684940.5,4684940.5,4684940.5,0
2022/2/18 6:02,4684872.5,4684872.5,4684872.5,4684872.5,0
2022/2/18 6:03,4684075,4684075,4684075,4684075,0
2022/2/18 6:04,4683769.5,4683769.5,4683769.5,4683769.5,0
2022/2/18 6:05,4683020.5,4683020.5,4683020.5,4683020.5,452722688
2022/2/18 6:06,4682435.5,4682435.5,4682435.5,4682435.5,0
2022/2/18 6:07,4682281.5,4682281.5,4682281.5,4682281.5,0
2022/2/18 6:08,4681213,4681213,4681213,4681213,0
2022/2/18 6:09,4682181.5,4682181.5,4682181.5,4682181.5,3921936384
2022/2/18 6:10,4682793.5,4682793.5,4682793.5,4682793.5,611319808
