,Open,High,Low,Adj Close,Volume,sma_short,sma_long,ema_short,ema_long,macd,macd_signal,plus_di,minus_di,adx,middle,upper,lower,moment,mom_signal,mom_base,rsi
2022-02-25 16:20:00,4549498.0,4557955.5,4549498.0,4557955.5,0,4546630.75,4533376.44,4538913.926431024,4524321.361863341,14592.564567683265,12942.825895180822,62.89154869023125,19.93980898565857,28.177585974411286,4533376.44,4573396.0437986525,4493356.836201348,23717.0,-3518.9,0,0.7746066176638124
2022-02-25 16:25:00,4551704.5,4551704.5,4544726.0,4544726.0,0,4547314.125,4534171.28,4539361.009013253,4525106.155641964,14254.853371289559,13271.7273538183,57.58913610467573,22.39804170127202,29.232141546582575,4534171.28,4574274.927872496,4494067.632127505,15709.5,7.25,0,0.6902109601338393
2022-02-25 16:30:00,4544826.5,4545497.5,4544157.5,4544157.5,0,4547755.208333333,4534775.32,4539729.9698583875,4525838.899659447,13891.070198940113,13538.364892133512,48.30732879781643,28.34698062220774,29.01929436515859,4534775.32,4575012.652258089,4494537.987741912,19302.5,3924.85,0,0.5942788243842339
2022-02-25 16:35:00,4539037.5,4547910.0,4539037.5,4546737.0,0,4549381.0,4535470.72,4540268.972176973,4526642.672753384,13626.29942358844,13744.005282999844,39.507610489638736,33.40592334494774,27.6425672493608,4535470.72,4575917.881629067,4495023.558370933,17680.5,8952.3,0,0.5585062193116646
2022-02-25 16:40:00,4545449.5,4545449.5,4544495.5,4544907.0,0,4551077.291666667,4535638.24,4540625.743547975,4527345.146881545,13280.596666430123,13859.68838886927,37.50650067883195,33.53429827185494,26.17249198286274,4535638.24,4576210.469144673,4495066.010855327,15555.0,13607.8,0,0.5348232758372282
2022-02-25 16:45:00,4544692.0,4544692.0,4537610.5,4538769.0,0,4550900.833333333,4535794.62,4540482.917121207,4527784.525849619,12698.391271588393,13839.283783856468,39.06732373300608,32.92314624839408,24.996639817710342,4535794.62,4576384.47612438,4495204.76387562,-1950.0,14592.35,0,0.5710154380049347
2022-02-25 16:50:00,4541762.5,4545552.0,4541762.5,4545552.0,0,4550978.25,4536387.38,4540872.846573423,4528467.890242978,12404.956330444664,13694.264886372308,39.09387302571619,27.891779650665686,24.445072058289607,4536387.38,4577101.875531254,4495672.884468745,10692.5,15758.9,0,0.6230005564178405
2022-02-25 16:55:00,4544895.5,4549059.0,4544895.5,4549059.0,4250927104,4550813.833333333,4536908.8,4541502.550683159,4529259.856006162,12242.69467699714,13482.506534485043,31.84294421251969,31.49337732536243,22.852195366116813,4536908.8,4577936.557783699,4495881.042216301,18326.0,15786.4,0,0.556331378076772
2022-02-25 17:00:00,4550044.0,4551505.0,4550044.0,4550927.5,0,4550226.541666667,4537693.46,4542227.546784455,4530093.226932339,12134.319852115586,13236.194039897477,28.28934517265051,33.13539126115517,21.8546759932959,4537693.46,4579024.355938566,4496362.564061434,14904.0,15235.05,0,0.5446042605576505
2022-02-25 17:05:00,4552083.0,4552083.0,4539640.5,4539640.5,0,4548057.625,4538863.32,4542028.54318565,4530460.429744048,11568.113441602327,12900.14391477737,23.337202735772102,41.92445253184414,22.296438870413592,4538863.32,4578599.478790385,4499127.161209616,8329.5,14226.65,0,0.42460903116499776
2022-02-25 17:10:00,4534757.5,4535228.0,4534757.5,4534924.5,0,4546050.458333333,4540841.06,4541482.078325216,4530632.1247545285,10849.953570687212,12521.821714710444,16.430281524550566,48.06652273358842,24.08006736412811,4540841.06,4573860.826098526,4507821.293901473,24530.5,14308.0,0,0.34281427938218145
2022-02-25 17:15:00,4531603.0,4531603.0,4517446.5,4519292.0,0,4543053.958333333,4541704.94,4539775.149223276,4530195.966108571,9579.183114705607,12042.7231497955,6.648094027644283,60.77546460058255,27.826703604921807,4541704.94,4570933.78419031,4512476.095809691,33811.0,16118.15,0,0.214656206737425
2022-02-25 17:20:00,4518817.0,4526757.0,4518817.0,4526757.0,4944560128,4540454.083333333,4542850.78,4538773.753129178,4530063.6981808655,8710.05494831223,11496.473763653697,6.572543496191822,57.25579667851648,31.26529426395664,4542850.78,4566711.967345034,4518989.592654967,29062.0,17094.1,0,0.3035012580647127
2022-02-25 17:25:00,4525906.0,4526995.0,4525648.0,4526995.0,0,4538976.5,4542880.52,4537867.695196164,4529945.6713273665,7922.023868797347,10901.076786138945,7.12794617900233,56.28459217250216,34.34886207143287,4542880.52,4566657.207182647,4519103.832817352,28884.0,18214.45,0,0.3201418241075521
2022-02-25 17:30:00,4528156.0,4532434.0,4528156.0,4532434.0,1573388288,4537999.541666667,4542716.86,4537449.718642613,4530041.376276617,7408.342365995981,10313.293574406454,13.023711705699567,52.07712039373528,36.05821182161225,4542716.86,4566730.949636117,4518702.770363884,6182.5,17277.2,0,0.3430054809520002
2022-02-25 17:35:00,4536287.0,4536287.0,4531932.0,4531932.0,0,4536765.791666667,4542439.56,4537025.278747028,4530114.092573891,6911.186173136346,9702.874668038865,18.779121542041306,51.90428312889603,36.778606266243116,4542439.56,4566796.657363015,4518082.462636984,-4593.5,17012.85,0,0.4066866995361321
2022-02-25 17:40:00,4532192.0,4532917.5,4531278.0,4531278.0,0,4535630.041666667,4542601.58,4536583.180381872,4530158.858244257,6424.322137614712,9056.388830329706,18.71471595268359,51.82417808925075,37.455891247779824,4542601.58,4566588.126722029,4518615.033277971,-7586.5,15184.95,0,0.4061801149483898
2022-02-25 17:45:00,4530520.5,4531388.5,4529743.5,4529743.5,0,4534877.916666667,4542809.26,4536057.051121728,4530142.882927125,5914.168194602244,8365.260868383779,20.403373304452586,52.02404509391444,37.86939364967282,4542809.26,4566227.817814294,4519390.702185705,2516.0,13603.95,0,0.3742982047355924
2022-02-25 17:50:00,4526938.0,4526938.0,4518082.0,4518082.0,0,4532588.75,4541897.08,4534674.354881595,4529679.002813289,4995.352068305947,7634.954049128625,18.256357553382223,59.576405140779386,38.88398372582319,4541897.08,4567318.565902311,4516475.594097689,-6469.5,11466.6,0,0.3267700772350373
2022-02-25 17:55:00,4517432.5,4517432.5,4511694.0,4511694.0,8520728576,4529475.0,4540579.92,4532906.635275318,4528987.271934056,3919.363341262564,6864.888468081442,18.443534098475357,59.62634435905249,39.808465881235776,4540579.92,4568683.698847004,4512476.141152996,-29192.5,7714.4,0,0.32571836860806425
